token_,count
bourg,1
preit,1
enirer,1
tuer,1
piller,1
faccager,1
quelon,1
appelloit,1
listes,1
ievoous,1
coniclle,1
paffay,1
carriere,1
fouuenant,1
maxime,1
vulgaire,1
it,1
falut,1
peuple,1
fouuerainetjoint,1
visent,1
ot,1
lad,1
cherche,1
humaines,1
nou,1
rx,1
hp,1
waóq,1
àà,1
cd,1
mn,1
necefsité,1
forcee,1
fujetteà,1
fommes,1
prefques,1
derniers,1
parlements,1
ouuertement,1
onap,1
pelle,1
fain,1
uk,1
çauez,1
accouftumé,1
refpondre,1
felon,1
faic,1
pofé,1
nor,1
semble,1
mó,1
eulement,1
befoing,1
declare,1
hóme,1
fous,1
ciel,1
vou,1
fiffe,1
plu,1
loft,1
fier,1
hóncur,1
fçauez,1
reproches,1
quetant,1
perfonnes,1
dc,1
lorges,1
eftéle,1
regalifte,1
quali,1
tét,1
appelle,1
tefmoïg,1
cour,1
vint,1
mois,1
maffacre,1
guise,1
com,1
meie,1
feisiurer,1
fidelité,1
obeiffanceau,1
habitás,1
ceu,1
trouué,1
temps,1
ligueur,1
cofté,1
rega,1
lite,1
obtenu,1
pouuoit,1
causes,1
cótrairestmais,1
meurement,1
confideré,1
icy,1
feulement,1
particulier,1
mefait,1
homme,1
toute,1
commécé,1
continuera,1
auant,1
cha,1
teau,1
bourgade,1
village,1
vns,1
quant,1
remply,1
feditions,1
maffacres,1
querelles,1
inimitiez,1
intestines,1
petis,1
mérrn,1
perfonne,1
moy,1
eltre,1
premiers,1
vàux,1
lesau,1
encor,1
ellenefe,1
puiffe,1
battre,1
aifément,1
canon,1
hors,1
appe,1
mine,1
efcallades,1
néantmoins,1
tumber,1
ene,1
maïns,1
nosennemis,1
fouf,1
friray,1
patiemment,1
perte,1
voire,1
puiffeferuir,1
aù,1
voudroisdeuantjouyr,1
voftre,1
deçaà,1
puisse,1
communiquer,1
beaux,1
difcours,1
delire,1
vnœuure,1
faut,1
parauant,1
publié,1
quefi,1
demandez,1
mefem,1
ble,1
cecy,1
mot,1
guerre,1
finira,1
pluspart,1
nobeffe,1
tumberat,1
queles,1
forces,1
feront,1
tellement,1
affoiblies,1
diminuees,1
esbahira,1
fin,1
aimé,1
haban,1
donnéra,1
donnera,1
plaifir,1
penfent,1
pre,1
uóy,1
oracle,1
prophetie,1
opinion,1
fondee,1
iu,1
gement,1
joy,1
cho,1
confirmer,1
opinió,1
apperceu,1
cognoiffance,1
hiftoires,1
facrees,1
prophanes,1
change,1
none,1
dh,1
ui,1
né,1
phó,1
tons,1
suiffes,1
princés,1
proteftans,1
allemaiz,1
gne,1
forts,1
puissants,1
onthómes,1
ar,1
gét,1
fecourir,1
alliez,1
quátesfois,1
voudrót,1
coucher,1
venós,1
main,1
tenant,1
ietter,1
oeil,1
sainte,1
vnió,1
mayenne,1
doüé,1
tresgrandes,1
vertus,1
corps,1
cóme,1
efprit,1
meilleurs,1
capitai,1
afsiegea,1
us,1
aye,1
fouuét,1
gaigaé,1
perdu,1
faulte,1
fouuenta,1
reparélesfautesd,1
truy,1
dieufe,1
feruir,1
prote,1
come,1
ladis,1
martel,1
portát,1
nom,1
maniere,1
fçauroit,1
quefe,1
fauorifé,1
in,1
tereft,1
iuftement,1
pourfuiure,1
vengé,1
fceres,1
occis,1
malheureufemét,1
mauuais,1
confeil,1
portent,1
iourd,1
huy,1
op,1
pofer,1
fang,1
bour,1
ena,1
quatre,1
portans,1
si,1
vouscontez,1
trouverez,1
feize,1
parlemens,1
riénent,1
lafouueraine,1
iuftice,1
eptil,1
recognoiffét,1
códition,1
ilfe,1
deciarera,1
toutle,1
clergé,1
mefnagé,1
tirer,1
gräds,1
secours,1
capitalles,1
horf,1
bordeaux,1
prefque,1
entie,1
res,1
cét,1
cinquâte,1
bônes,1
lefquelles,1
fçau,1
roiét,1
contribuer,1
tresgrá,1
voila,1
partis,1
däsle,1
voyós,1
dehors,1
at,1
age,1
ronge,1
bonté,1
pareôfequét,1
litige,1
benefice,1
doit,1
troubler,1
enfonten,1
poflefsion,1
triénale,1
ditent,1
enauoir,1
bôstiltres,1
be,1
tong,1
venir,1
fonds,1
quad,1
prin,1
cipal,1
naeud,1
to,1
maiftres,1
demeurent,1
accord,1
ya,1
entreles,1
fcauás,1
iuriíconfultes,1
foiét,1
corrompus,1
argét,1
tráfportez,1
depaf,1
defere,1
proche,1
venant,1
directe,1
couftumeeft,1
fuiuie,1
approuuee,1
douze,1
tables,1
monseigneur,1
compter,1
depuisleroy,1
sainct,1
descendu,1
ro,1
bert,1
comte,1
clermót,1
cft,1
nué,1
branche,1
prendre,1
pereà,1
autreziefme,1
navarreau,1
quatorzicíme,1
partant,1
eíloigne,1
vient,1
defereeà,1
maintenant,1
lefeu,1
viuât,1
ov,1
cut,1
aucun,1
tran,1
mettre,1
h,1
aucune,1
difficulté,1
parlaloy,1
di,1
appartient,1
eigneur,1
fruftré,1
vfurpation,1
violence,1
con,1
raire,1
reprouuee,1
hom,1
contrai,1
ignorance,1
faction,1
alsion,1
mauuaife,1
volonté,1
plulieurs,1
wntraire,1
lefquelsne,1
veulét,1
recognoïiltre,1
rérité,1
pource,1
porte,1
préiudi,1
mm,1
bos,1
pretentions,1
tomber,1
ooo,1
dernier,1
lo,1
thaire,1
duque,1
hué,1
caper,1
gré,1
confentement,1
estats,1
eftably,1
vot,1
ju,1
continuer,1
defcendam,1
durant,1
fix,1
entiers,1
aduint,1
fert,1
bcrnard,1
pepin,1
talie,1
faveur,1
gtád,1
arguer,1
figrand,1
ignoroit,1
receuable,1
cet,1
exemple,1
feul,1
pape,1
cle,1
ment,1
cinquiefme,1
aduis,1
fçauans,1
fuccefsió,1
troifiefme,1
second,1
boiteux,1
preferé,1
fó,1
nepueucarobert,1
mar,1
dudit,1
casou,1
fommestou,1
excludlenepueu,1
exéple,1
aduenu,1
nosiours,1
antonio,1
pretendantle,1
contre,1
efpaigné,1
aui,1
poffede,1
droict,1
royne,1
ifbel,1
lediét,1
petit,1
emanuel,1
fondit,1
plusaagé,1
fx,1
ansque,1
henry,1
preflre,1
áncest,1
viuant,1
ledit,1
plaignit,1
exclus,1
fuft,1
verifie,1
genealogie,1
quát,1
representation,1
collateralle,1
esté,1
receué,1
cas,1
fcauoir,1
fuccefsion,1
quád,1
lon,1
admet,1
nepueux,1
oncletce,1
ni,1
xl,1
ld,1
pn,1
imm,1
montpenfierji,1
exclusion,1
dt,1
fcendus,1
fea,1
códé,1
difpofition,1
heredité,1
effant,1
repus,1
diee,1
acermfé,1
prochain,1
decelail,1
fortifier,1
môfcigneur,1
cardinà,1
contra,1
mariage,1
ef,1
poufa,1
fœur,1
oy,1
feit,1
cefsió,1
tráf,1
port,1
droicts,1
pretendoit,1
cou,1
ronne,1
refpons,1
contract,1
dió,1
faueur,1
nas,1
uarre,1
quitta,1
gitime,1
ilauoiten,1
vendofme,1
querelle,1
composition,1
cent,1
dót,1
iln,1
vingt,1
payez,1
quinze,1
milliures,1
payer,1
conseil,1
parties,1
faiét,1
incôgruité,1
notable,1
fortanciuile,1
rois,1
stipuler,1
droits,1
pretendus,1
frence,1
freres,1
eftans,1
fleur,1
aage,1
emblé,1
foffe,1
deuant,1
affeure,1
té,1
monfeigneurle,1
refpeét,1
portoitau,1
quelques,1
prieres,1
em,1
cuit,1
fceu,1
jamais,1
parler,1
ik,1
fouftiens,1
couró,1
hereditaire,1
aufsile,1
dè,1
céfé,1
reputé,1
heriticr,1
predeceffeurt,1
raison,1
efl,1
tenu,1
aucuncmét,1
debtes,1
perfonelles,1
faictes,1
nr,1
nt,1
hie,1
plaisir,1
tournees,1
proffit,1
er,1
oyaume,1
souverain,1
imperial,1
mou,1
royal,1
quife,1
repu,1
mb,1
dier,1
eftás,1
acceptéil,1
don,1
ner,1
quitter,1
tranfporter,1
ainfi,1
bó,1
côfeil,1
fubtil,1
puif,1
eftà,1
fondé,1
confeillé,1
nerecognoift,1
monfeigneur,1
dinal,1
aduenant,1
juy,1
repudier,1
raifons,1
diét,1
cy,1
deffus,1
roit,1
retourneroit,1
cótrai,1
faifoit,1
couronner,1
gouuernaft,1
fagemét,1
monfträt,1
affectió,1
defenfe,1
faisant,1
publique,1
profefsion,1
bonne,1
fraude,1
pourroit,1
attirer,1
veillance,1
li,1
vrinces,1
eftát,1
reconciliéà,1
eglife,1
fait,1
abfoudre,1
descenfures,1
ecclefiaftiques,1
parnoftre,1
faifant,1
acte,1
ban,1
affeureroit,1
moyen,1
flat,1
maisonarresle,1
deces,1
aa,1
gé,1
lequel,1
auiourdhuv,1
detiét,1
iniuftement,1
captiuité,1
face,1
entendre,1
lettres,1
regret,1
autheur,1
defire,1
deliuran,1
faict,1
met,1
gens,1
grande,1
defiance,1
cófeillé,1
deporteroit,1
rigueurs,1
contraceroit,1
alliáce,1
deliureroit,1
guife,1
innocét,1
elbeuf,1
portant,1
peine,1
non,1
ritee,1
pluftoft,1
enuie,1
feruiroit,1
appaifer,1
pacifier,1
affaires,1
donc,1
mainte,1
nant,1
cause,1
vpion,1
iij,1
